#  i,        z_bin,        no. 
           0      0.00000       0
           1    0.0500000       4
           2     0.100000      65
           3     0.150000     193
           4     0.200000     420
           5     0.250000     511
           6     0.300000     779
           7     0.350000     850
           8     0.400000     873
           9     0.450000     758
          10     0.500000     819
          11     0.550000     800
          12     0.600000     827
          13     0.650000     701
          14     0.700000     704
          15     0.750000     678
          16     0.800000     752
          17     0.850000     758
          18     0.900000     760
          19     0.950000     819
          20      1.00000     921
          21      1.05000    1002
          22      1.10000     971
          23      1.15000    1046
          24      1.20000    1137
          25      1.25000    1077
          26      1.30000    1090
          27      1.35000     992
          28      1.40000    1005
          29      1.45000    1129
          30      1.50000    1282
          31      1.55000    1226
          32      1.60000    1080
          33      1.65000    1124
          34      1.70000    1080
          35      1.75000    1129
          36      1.80000    1014
          37      1.85000     993
          38      1.90000     904
          39      1.95000     811
          40      2.00000     662
          41      2.05000     639
          42      2.10000     579
          43      2.15000     549
          44      2.20000     473
          45      2.25000     435
          46      2.30000     324
          47      2.35000     250
          48      2.40000     262
          49      2.45000     216
          50      2.50000     193
          51      2.55000     146
          52      2.60000     121
          53      2.65000      80
          54      2.70000      78
          55      2.75000      93
          56      2.80000     103
          57      2.85000     136
          58      2.90000     208
          59      2.95000     284
          60      3.00000     255
          61      3.05000     297
          62      3.10000     322
          63      3.15000     301
          64      3.20000     314
          65      3.25000     236
          66      3.30000     223
          67      3.35000     181
          68      3.40000     119
          69      3.45000     111
          70      3.50000     115
          71      3.55000     122
          72      3.60000     162
          73      3.65000     161
          74      3.70000     133
          75      3.75000     160
          76      3.80000     143
          77      3.85000     103
          78      3.90000      94
          79      3.95000      80
          80      4.00000      71
          81      4.05000      71
          82      4.10000      69
          83      4.15000      43
          84      4.20000      46
          85      4.25000      43
          86      4.30000      38
          87      4.35000      24
          88      4.40000      32
          89      4.45000      26
          90      4.50000      30
          91      4.55000      27
          92      4.60000      19
          93      4.65000      24
          94      4.70000      23
          95      4.75000      21
          96      4.80000      12
          97      4.85000      19
          98      4.90000      11
          99      4.95000       6
         100      5.00000      13
         101      5.05000       0
         102      5.10000       3
         103      5.15000       3
         104      5.20000       3
         105      5.25000       4
         106      5.30000       3
         107      5.35000       0
         108      5.40000       0
         109      5.45000       0
         110      5.50000       0
         111      5.55000       0
         112      5.60000       0
         113      5.65000       0
         114      5.70000       0
         115      5.75000       0
         116      5.80000       0
         117      5.85000       0
         118      5.90000       0
         119      5.95000       0
