       0     0.3792130053    14.9475069046     0.3989000000     0.3867950000    14.9355730000    0.014139   1
       1     6.4066410065    15.7246589661     1.1550000000     6.4066419000    15.7246747000    0.000016   1
       2   112.0159301758    39.2031745911     1.8716000000   112.0135310000    39.1989550000    0.004854   1
       3   113.8442153931    26.7968044281     0.2398000000   113.8383020000    26.7957760000    0.006002   1
       4   114.8579406738    41.8158035278     3.2850000000   114.8579416000    41.8158029000    0.000001   1
       5   115.5670013428    21.2215671539     1.8297000000   115.5562300000    21.2280990000    0.012597   1
       6   115.8468093872    21.4030971527     1.4750000000   115.8458278000    21.4157607000    0.012702   1
       7   115.9978485107    30.1348991394     3.5050000000   115.9978626000    30.1348869000    0.000019   1
       8   115.9978561401    30.1348953247     3.5050000000   115.9978626000    30.1348869000    0.000011   1
       9   116.5837097168    29.4708900452     1.4327000000   116.5888640000    29.4727280000    0.005472   1
      10   116.7420425415    17.6930503845     0.9150000000   116.7464961000    17.6997635000    0.008056   1
      11   116.8696594238    23.0156803131     1.8853000000   116.8691250000    23.0144880000    0.001307   1
      12   117.3766479492    17.9143180847     0.8750000000   117.3662112000    17.9139599000    0.010443   1
      13   117.5070266724    16.2098789215     1.1050000000   117.5076927000    16.2180715000    0.008220   1
      14   117.5094299316    17.0549163818     0.3950000000   117.5183075000    17.0460734000    0.012530   1
      15   117.6674728394    33.1008377075     1.0264000000   117.6716840000    33.0946860000    0.007455   1
      16   117.8664855957    17.2585277557     0.8593000000   117.8767520000    17.2595220000    0.010314   1
      17   118.1820678711    21.0512561798     2.2650000000   118.1808841000    21.0503191000    0.001510   1
      18   118.1890869141    21.0589561462     2.2650000000   118.1808841000    21.0503191000    0.011912   1
      19   118.3903656006    22.5312652588     1.8010000000   118.3863540000    22.5394550000    0.009119   1
      20   119.0097045898    28.4097518921     2.0350000000   119.0057934000    28.3972954000    0.013056   1
      21   119.0261383057    30.7788295746     0.3542000000   119.0303770000    30.7707440000    0.009129   1
      22   119.6261825562    16.8385524750     3.1073999000   119.6252570000    16.8291390000    0.009459   1
      23   119.9205322266    29.5794143677     1.3900000000   119.9264090000    29.5855180000    0.008473   1
      24   120.1057205200    21.6082172394     3.9846001000   120.1191030000    21.6027810000    0.014444   1
      25   120.2463607788    21.0265560150     0.8644000000   120.2473910000    21.0219870000    0.004684   1
      26   120.6991729736    21.9743824005     2.2950000000   120.6991836000    21.9743729000    0.000014   1
      27   122.2399597168    17.6000747681     1.1450000000   122.2308450000    17.5916942000    0.012382   1
      28   123.0301361084     5.4045548439     1.9950000000   123.0315558000     5.3947685000    0.009889   1
      29   123.2258911133    40.6136398315     1.1450000000   123.2245179000    40.6221605000    0.008631   1
      30   123.2577514648    25.9768867493     1.3473001000   123.2671960000    25.9788610000    0.009649   1
      31   123.3681182861    22.7155647278     1.8650000000   123.3578535000    22.7231883000    0.012786   1
      32   123.4029998779    25.1583671570     3.5050000000   123.4030021000    25.1583665000    0.000002   1
      33   123.4480590820    53.7983627319     0.8850000000   123.4480566000    53.7983645000    0.000003   1
      34   123.7092361450    37.1770782471     3.1350000000   123.7103114000    37.1638374000    0.013284   1
      35   123.9118041992    26.6653213501     2.1550000000   123.9071386000    26.6633639000    0.005060   1
      36   123.9789199829    38.5092964172     1.0065000000   123.9755740000    38.5228610000    0.013971   1
      37   124.0730743408    18.2928924561     1.3685000000   124.0680200000    18.2983510000    0.007439   1
      38   124.2726745605    33.1321792603     0.8750000000   124.2828930000    33.1368626000    0.011241   1
      39   124.4655151367    52.6317710876     1.3067000000   124.4578920000    52.6356400000    0.008549   1
      40   124.4728317261    52.6338806152     1.3067000000   124.4578920000    52.6356400000    0.015043   1
      41   124.6754150391    35.8810005188     3.9330001000   124.6847640000    35.8788650000    0.009590   1
      42   125.2753448486     7.3165988922     0.4687000000   125.2796380000     7.3177340000    0.004441   1
      43   125.6901473999     7.2036728859     1.7950000000   125.6989738000     7.1985383000    0.010211   1
      44   125.9179382324    22.8123397827     2.1736000000   125.9095580000    22.8092000000    0.008949   1
      45   125.9976577759     7.1087951660     0.3350000000   126.0035647000     7.1038988000    0.007672   1
      46   126.1312637329     7.0748181343     3.7850000000   126.1312746000     7.0748134000    0.000012   1
      47   126.1659698486    23.9556541443     0.5350000000   126.1659698000    23.9556541000    0.000000   1
      48   126.1659698486    23.9556465149     0.5356000000   126.1659700000    23.9556540000    0.000007   1
      49   126.1692199707    23.9527587891     0.5365000000   126.1692230000    23.9527590000    0.000003   2
      50   126.1692352295    23.9527530670     0.5365000000   126.1692230000    23.9527590000    0.000014   2
      51   126.6094055176    21.9272785187     1.4628000000   126.6110310000    21.9169170000    0.010488   1
      52   127.2875366211    29.4550304413     3.7850000000   127.2821559000    29.4652229000    0.011526   1
      53   127.3142395020    22.6600303650     4.7850000000   127.3126667000    22.6592534000    0.001754   1
      54   127.4964065552    32.6818695068     0.7350000000   127.4845545000    32.6773536000    0.012683   1
      55   127.6337203979     5.3395638466     2.2050000000   127.6330585000     5.3352081000    0.004406   1
      56   127.8507843018     3.8975870609     0.7650000000   127.8589913000     3.9022537000    0.009441   1
      57   128.0294189453     5.6247568130     1.0749000000   128.0204260000     5.6354790000    0.013994   1
      58   128.1386871338    29.3440303802     1.9433000000   128.1296780000    29.3479080000    0.009808   1
      59   128.1386871338    29.3440532684     1.9433000000   128.1296780000    29.3479080000    0.009799   1
      60   128.3058471680    28.0470790863     1.9557000000   128.2960300000    28.0472470000    0.009819   1
      61   128.3781890869    23.8323287964     1.0802000000   128.3781960000    23.8323150000    0.000015   1
