073103.12+445949.4       112.76302       44.997070       5.0029000
084627.84+080051.7       131.61601       8.0143760       5.0301000
090245.76+085115.8       135.69069       8.8544000       5.2258000
091543.64+492416.7       138.93184       49.404667       5.1960000
092216.81+265359.0       140.57007       26.899742       5.0318000
095707.67+061059.5       149.28200       6.1832220       5.1571000
101336.33+424026.4       153.40141       42.674026       5.0377000
105036.47+580424.6       162.65196       58.073505       5.1318000
105322.98+580412.1       163.34578       58.070042       5.2149000
111920.64+345248.1       169.83601       34.880043       5.0110000
113246.50+120901.6       173.19377       12.150471       5.1670000
114657.79+403708.6       176.74080       40.619072       5.0050000
115424.73+134145.7       178.60306       13.696048       5.0104000
120207.78+323538.8       180.53242       32.594116       5.2924000
122146.42+444528.0       185.44342       44.757786       5.2056000
123333.48+062234.2       188.38950       6.3761790       5.2891000
124247.91+521306.8       190.69963       52.218575       5.0175000
133412.56+122020.7       203.55234       12.339087       5.1342000
133728.81+415539.8       204.37006       41.927738       5.0150000
134015.03+392630.7       205.06265       39.441887       5.0259000
134040.24+281328.1       205.16768       28.224491       5.3383000
142325.92+130300.6       215.85800       13.050192       5.0374000
144350.66+362315.1       220.96112       36.387543       5.2726000
151035.29+514841.0       227.64706       51.811405       5.0314000
162626.50+275132.4       246.61043       27.859024       5.2751000
162629.19+285857.5       246.62164       28.982662       5.0225000
165902.11+270935.1       254.75880       27.159754       5.3133000
222845.14-075755.3       337.18811      -7.9653750       5.1417000
