## z  M=5d11  1d12  2d12  3d12  4d12  5d12 6d12  7d12  8d12  9d12  1d13  1.6d13  2d13 Msun/h
4.80    8.09    9.69   11.75   13.22   14.41   15.43   16.34   17.16   17.91   18.61   19.27   22.57   24.40
4.90    8.36   10.01   12.14   13.66   14.90   15.95   16.89   17.74   18.52   19.24   19.92   23.34   25.22
5.00    8.63   10.34   12.54   14.11   15.39   16.48   17.45   18.32   19.13   19.88   20.58   24.12   26.07
5.10    8.90   10.67   12.94   14.57   15.89   17.02   18.02   18.92   19.75   20.53   21.25   24.91   26.92
5.20    9.18   11.01   13.35   15.03   16.40   17.56   18.60   19.53   20.39   21.19   21.94   25.71   27.79
5.30    9.46   11.35   13.77   15.51   16.91   18.12   19.18   20.15   21.04   21.86   22.63   26.53   28.68
5.40    9.75   11.70   14.20   15.99   17.44   18.68   19.78   20.78   21.69   22.54   23.34   27.36   29.58
5.50   10.04   12.05   14.63   16.48   17.97   19.25   20.39   21.42   22.36   23.24   24.06   28.21   30.49
5.60   10.34   12.41   15.07   16.97   18.51   19.83   21.00   22.06   23.04   23.94   24.79   29.06   31.42
5.70   10.64   12.78   15.51   17.47   19.06   20.42   21.63   22.72   23.72   24.66   25.53   29.93   32.36
5.80   10.95   13.15   15.97   17.99   19.62   21.02   22.27   23.39   24.42   25.38   26.28   30.82   33.32
5.90   11.26   13.52   16.43   18.50   20.19   21.63   22.91   24.07   25.13   26.12   27.04   31.72   34.29
6.00   11.57   13.91   16.89   19.03   20.76   22.25   23.56   24.75   25.85   26.86   27.82   32.63   35.27
6.10   11.89   14.29   17.36   19.56   21.35   22.87   24.23   25.45   26.58   27.62   28.60   33.55   36.27
6.20   12.22   14.68   17.84   20.11   21.94   23.51   24.90   26.16   27.32   28.39   29.40   34.48   37.29
6.30   12.55   15.08   18.33   20.65   22.54   24.15   25.58   26.88   28.07   29.17   30.21   35.43   38.31
6.40   12.88   15.49   18.82   21.21   23.15   24.80   26.27   27.60   28.83   29.96   31.03   36.40   39.36
