#z_lo z_mean z_hi	r0  r0plus r0minus		gamma gamma_hi gamma_lo
#0.30 1.354 2.20   	6.00 0.51 0.51  		2.00 0.01 0.01  
 0.08 0.235 0.30    	8.78 1.11 1.11  		2.00 0.01 0.01   
 0.30 0.488 0.68    	6.97 0.59 0.59  		2.00 0.01 0.01   
 0.68 0.801 0.92    	6.12 0.76 0.76  		2.00 0.01 0.01  
 0.92 1.028 1.13    	8.84 1.08 1.08  		2.00 0.01 0.01  
 1.13 1.228 1.32    	8.35 1.16 1.16  		2.00 0.01 0.01  
 1.32 1.412 1.50    	7.50 1.14 1.14  		2.00 0.01 0.01  
 1.50 1.577 1.66    	8.29 0.92 0.92  		2.00 0.01 0.01 
 1.66 1.744 1.83    	7.47 0.91 0.91  		2.00 0.01 0.01 
 1.83 1.917 2.02    	9.30 1.13 1.13  		2.00 0.01 0.01 
 2.02 2.104 2.20    	11.61 0.79 0.79  		2.00 0.01 0.01    
 2.20 2.462 2.90    	12.70 2.20 2.20  		2.00 0.01 0.01    
