 0.07943282 -1.1 723.0544567108154 724.0544567108154 2. 1. 203.9384365081787 2366.921854019165
 0.12589255 -0.9 3496.661819458008 1748.830909729004 8. 6. 3496.661819458008 3496.661819458008
 0.19952624 -0.7 2995.454658508301 998.8182195027669 18. 18. 5086.6731033325195 1812.7523204579072
 0.31622776 -0.5 1744.4951502482097 581.8317167494032 18. 19. 2635.156964187622 1312.5700410080688
 0.5011872 -0.3 778.5223264467148 150.01914167111138 54. 222. 716.3711153334203 903.2390810640377
 0.7943282 -0.1 129.2032229382059 23.385189180675976 62. 458. 164.07949211048495 122.8858433112453
 1.2589254 0.1 66.22686728206509 11.52931262243738 68. 1338. 100.66277193279926 33.53526388308
 1.9952624 0.3 32.95535205686295 3.3955352056862953 200. 3227. 24.007744704356917 39.53380584020031
 3.1622777 0.5 32.71650658656515 2.2427886564566206 452. 8206. 31.564778296940233 32.7934967960323
 5.0118723 0.7 36.894660830473974 1.624720179220384 1088. 20064. 36.088563939533735 36.56539858856633
 7.943282 0.9 23.855163633013703 0.6792448247188263 2678. 50256. 22.963494433544945 23.240077475055074
 12.589254 1.1 14.173110356157142 0.26570468806048714 6522. 124995. 12.782224717084226 12.881134763627099
 19.952621 1.3 9.507401293256878 0.11847271683736034 15732. 305948. 9.81312336609285 9.701584387260153
 31.622776 1.5 3.776118402202558 0.034799196448551485 37674. 743686. 3.37963249406262 3.3705877527661334
 50.11873 1.7 3.2366976549824433 0.019927529049320145 90402. 1785337. 2.3845123572386484 2.418926777428175
 79.432816 1.9 1.8199018849768827 0.008662281345139198 211950. 4197979. 0.666193495627221 0.6851474621529843
 125.89252 2.1 1.5185703275848468 0.0050946788096784485 488770. 9673241. 0.24804860747870777 0.266394227387286
