# min_z, med_z, max_z s0, s0_error_plus, s0_error_minus
0.30 0.526 0.68  5.73  0.79 0.94 
0.68 0.804 0.92  3.94  1.00 0.98
0.92 1.026 1.13  4.76  0.97 1.02
1.13 1.225 1.32  5.52  0.98 1.00
1.32 1.413 1.50  5.28  0.98 1.00
1.50 1.579 1.66  4.87  0.95 1.02
1.66 1.745 1.83  6.25  0.83 0.85
1.83 1.921 2.02  6.39  0.98 1.00
2.02 2.131 2.25  8.00  0.99 1.00
2.25 2.475 2.90  8.81  0.98 1.01
