 # k, 10^((float(k)-15.+0.5)/10.), bin_DD(k), bin_DR(k)
      0      0.0354813       33013           0     1000000      0.0000000     29.2910995     31.2910995
      1      0.0446684           0           0           0      0.0000000      0.0000000      0.0000000
      2      0.0562341           0           0           0      0.0000000      0.0000000      0.0000000
      3      0.0707946           0           0           0      0.0000000      0.0000000      0.0000000
      4      0.0891251           0           0           0      0.0000000      0.0000000      0.0000000
      5      0.1122018           0           0           0      0.0000000      0.0000000      0.0000000
      6      0.1412537           0           0           0      0.0000000      0.0000000      0.0000000
      7      0.1778279           0           0           2      0.0000000     -1.0000000      1.0000000
      8      0.2238721           0           0           2      0.0000000     -1.0000000      1.0000000
      9      0.2818383           0           0           6      0.0000000     -1.0000000      1.0000000
     10      0.3548134           0           0           8      0.0000000     -1.0000000      1.0000000
     11      0.4466836           0           0          14      0.0000000     -1.0000000      1.0000000
     12      0.5623413           0           3          12     -1.0000000     -1.0000000    -14.1455488
     13      0.7079458           0           5          56     -1.0000000     -1.0000000     -4.4091249
     14      0.8912509           0           5         106     -1.0000000     -1.0000000     -1.8576508
     15      1.1220185           0           7         206     -1.0000000     -1.0000000     -1.0586183
     16      1.4125376           4          15         464     -1.0000000      6.9099188      6.9514427
     17      1.7782794           2          27         906     -1.0000000      1.0254979      1.2200683
     18      2.2387211          12          61        1740     -1.0000000      5.3279352      5.2040768
     19      2.8183827           8         107        3516     -1.0000000      1.0877147      1.2440585
     20      3.5481341          24         224        6964     -1.0000000      2.1621501      2.2134986
     21      4.4668355          48         434       14104     -1.0000000      2.1226907      2.2584910
     22      5.6234131          56         871       27562     -1.0000000      0.8642635      0.9497764
     23      7.0794582         104        1768       55182     -1.0000000      0.7292824      0.7882632
     24      8.9125090         194        3482      108762     -1.0000000      0.6366453      0.6971149
     25     11.2201834         370        6969      215356     -1.0000000      0.5764303      0.6159680
     26     14.1253748         514       13599      426930     -1.0000000      0.1046799      0.1749555
     27     17.7827950        1162       27002      842350     -1.0000000      0.2657373      0.3237411
     28     22.3872128        2024       53160     1654946     -1.0000000      0.1221650      0.1761502
     29     28.1838322        3598      104679     3249590     -1.0000000      0.0159272      0.0643938
     30     35.4813347        6974      205584     6358026     -1.0000000      0.0064441      0.0475452
     31     44.6683578       13636      400185    12400560     -1.0000000      0.0089642      0.0538841
     32     56.2341309       25758      777282    24078596     -1.0000000     -0.0184532      0.0258909
     33     70.7945786       49968     1505346    46534708     -1.0000000     -0.0147533      0.0254802
     34     89.1251068       95806     2903813    89504912     -1.0000000     -0.0178545      0.0166739
     35    112.2018356      183356     5563235   171132336     -1.0000000     -0.0169104      0.0136606
     36    141.2537842      348748    10587050   325048608     -1.0000000     -0.0155506      0.0112468
     37    177.8279419      660018    16777216   613038208     -1.0000000     -0.0121335      0.3298938
     38    223.8720703     1244286    16777216  1146748928     -1.0000000     -0.0044069      1.1092608
     39    281.8383179     2307842    16777216  2124705024     -1.0000000     -0.0033620      1.5182655
     40    354.8133545     4243426    16777216  3890648576     -1.0000000      0.0007478      1.7395058
      0.00000
