 2.300      0       0
 2.250      0       0
 2.200    240    4412
 2.150    244    4923
 2.100    271    5730
 2.050    298    6383
 2.000    384    7035
 1.950    410    7709
 1.900    425    8076
 1.850    443    8601
 1.800    505    9147
 1.750    517    9302
 1.700    508    9903
 1.650    475   10066
 1.600    533   10146
 1.550    589   10084
 1.500    496   10081
 1.450    450    9946
 1.400    402    9916
 1.350    500   10043
 1.300    467   10043
 1.250    532    9732
 1.200    409    9065
 1.150    397    8686
 1.100    441    8533
 1.050    426    7875
 1.000    381    7500
 0.950    348    7271
 0.900    324    6771
 0.850    350    6566
 0.800    316    6477
 0.750    305    6602
 0.700    303    6591
 0.650    369    6770
 0.600    340    7028
 0.550    353    7284
 0.500    328    7589
 0.450    377    7345
 0.400    372    7385
 0.350    336    6664
 0.300      0       0
 0.250      0       0
 0.200      0       0
 0.150      0       0
 0.100      0       0
 0.050      0       0
