 2.300      0       0
 2.250      0       0
 2.200    230    4346
 2.150    250    5001
 2.100    296    5712
 2.050    276    6375
 2.000    339    7081
 1.950    376    7564
 1.900    447    8151
 1.850    442    8579
 1.800    491    8990
 1.750    449    9429
 1.700    483    9712
 1.650    498   10092
 1.600    534   10104
 1.550    560   10097
 1.500    509    9931
 1.450    439   10179
 1.400    483   10029
 1.350    469    9986
 1.300    468    9738
 1.250    493    9797
 1.200    497    9124
 1.150    450    8818
 1.100    431    8326
 1.050    390    7843
 1.000    343    7392
 0.950    328    7175
 0.900    334    6921
 0.850    314    6522
 0.800    279    6364
 0.750    303    6425
 0.700    317    6443
 0.650    357    6663
 0.600    362    6931
 0.550    352    7155
 0.500    352    7324
 0.450    401    7339
 0.400    385    7218
 0.350    348    6624
 0.300      0       0
 0.250      0       0
 0.200      0       0
 0.150      0       0
 0.100      0       0
 0.050      0       0
