 2.300      0       0
 2.250      0       0
 2.200    314    4021
 2.150    358    5498
 2.100    358    7073
 2.050    395    8544
 2.000    461    9678
 1.950    539   11263
 1.900    584   12349
 1.850    576   13164
 1.800    665   14002
 1.750    602   14636
 1.700    676   15076
 1.650    641   15276
 1.600    720   15396
 1.550    771   15319
 1.500    635   15434
 1.450    602   15507
 1.400    598   14927
 1.350    630   14937
 1.300    600   14383
 1.250    680   13806
 1.200    593   13538
 1.150    547   13026
 1.100    585   12331
 1.050    514   11875
 1.000    461   11440
 0.950    451   10966
 0.900    436   10533
 0.850    441   10232
 0.800    418   10039
 0.750    416    9977
 0.700    415   10051
 0.650    464   10186
 0.600    493   10582
 0.550    465   10522
 0.500    439   10600
 0.450    496   10396
 0.400    517    9789
 0.350    420    8431
 0.300      0       0
 0.250      0       0
 0.200      0       0
 0.150      0       0
 0.100      0       0
 0.050      0       0
