  i, j, l,    A_two,       COV_sum,    A_three_i, A_three_j, A_three 
   0   0   0      3.10479640       3.10479640       1.76204328       1.76204328       3.10479652       3.10479652
   0   0   1      4.00474629       7.10954270       2.00118619       2.00118619       4.00474618       7.10954269
   0   0   2  20100.75186980   20107.86141250     141.77712147     141.77712147   20100.75217092   20107.86171361
   0   0   3  27604.42475896   47712.28617146     166.14579420     166.14579420   27604.42493161   47712.28664522
   0   0   4    971.02636000   48683.31253146      31.16129575      31.16129575     971.02635286   48683.31299808
   0   0   5      0.31988808   48683.63241954       0.56558648       0.56558648       0.31988806   48683.63288614
   0   0   6  13687.63207446   62371.26449400     116.99415484     116.99415484   13687.63226735   62371.26515349
   0   0   7   1399.13901296   63770.40350696      37.40506718      37.40506718    1399.13905096   63770.40420446
   0   0   8    705.68212855   64476.08563552      26.56467815      26.56467815     705.68212525   64476.08632971
   0   0   9 302502.30799922  366978.39363474     550.00210693     550.00210693  302502.31763161  366978.40396132
   0   0  10      0.28609636  366978.67973110       0.53487975       0.53487975       0.28609635  366978.69005766
   0   0  11   1437.46389987  368416.14363097      37.91390109      37.91390109    1437.46389598  368416.15395365
   0   0  12   1373.96800022  369790.11163119      37.06707449      37.06707449    1373.96801111  369790.12196476
   0   0  13      0.31273430  369790.42436549       0.55922652       0.55922652       0.31273430  369790.43469906
   0   0  14   1190.20800513  370980.63237062      34.49939071      34.49939071    1190.20795904  370980.64265810
   0   0  15      0.02722451  370980.65959513       0.16499852       0.16499852       0.02722451  370980.66988261
   0   0  16    392.03302822  371372.69262336      19.79982425      19.79982425     392.03304043  371372.70292305
   0   0  17      0.83946172  371373.53208508       0.91622145       0.91622145       0.83946174  371373.54238479
   0   0  18      0.13984475  371373.67192982       0.37395821       0.37395821       0.13984474  371373.68222953
   0   0  19      0.52633598  371374.19826580       0.72549016       0.72549016       0.52633597  371374.20856550
   0   0  20     28.04322828  371402.24149409       5.29558579       5.29558579      28.04322887  371402.25179437
   0   1   0   -106.42153538    -106.42153538       1.76204328      60.39666581     106.42153904     106.42153904
   0   1   1     33.25219994     -73.16933544       2.00118619      16.61624427      33.25219860     139.67373764
   0   1   2  -2639.60065819   -2712.76999364     141.77712147      18.61795936    2639.60068536    2779.27442300
   0   1   3   2126.71359596    -586.05639767     166.14579420      12.80028534    2126.71357463    4905.98799763
   0   1   4     55.94950618    -530.10689150      31.16129575       1.79548076      55.94950689    4961.93750452
   0   1   5     -1.64723917    -531.75413067       0.56558648       2.91244430       1.64723911    4963.58474364
   0   1   6   1120.35816149     588.60403082     116.99415484       9.57618919    1120.35816123    6083.94290486
   0   1   7   2183.55914262    2772.16317343      37.40506718      58.37602536    2183.55915056    8267.50205542
   0   1   8    472.51172112    3244.67489456      26.56467815      17.78721758     472.51171024    8740.01376566
   0   1   9 -10073.24934342   -6828.57444886     550.00210693      18.31492914   10073.24961640   18813.26338206
   0   1  10      4.39102427   -6824.18342459       0.53487975       8.20936688       4.39102409   18817.65440615
   0   1  11    538.46464226   -6285.71878233      37.91390109      14.20230098     538.46463459   19356.11904075
   0   1  12    479.92369623   -5805.79508611      37.06707449      12.94743914     479.92369105   19836.04273179
   0   1  13    -31.16215220   -5836.95723831       0.55922652      55.72366709      31.16215244   19867.20488424
   0   1  14   -568.70903705   -6405.66627536      34.49939071      16.48461104     568.70903684   20435.91392107
   0   1  15     -1.35341928   -6407.01969463       0.16499852       8.20261420       1.35341924   20437.26734031
   0   1  16    112.87728887   -6294.14240576      19.79982425       5.70092382     112.87728965   20550.14462997
   0   1  17      3.96611343   -6290.17629234       0.91622145       4.32877176       3.96611354   20554.11074350
   0   1  18     -7.10044011   -6297.27673245       0.37395821      18.98725554       7.10044008   20561.21118358
   0   1  19      0.62227764   -6296.65445481       0.72549016       0.85773409       0.62227764   20561.83346122
   0   1  20   -106.02775119   -6402.68220600       5.29558579      20.02191165     106.02775086   20667.86121208
   0   2   0      3.01522271       3.01522271       1.76204328       1.71120813       3.01522278       3.01522278
   0   2   1     13.81351418      16.82873689       2.00118619       6.90266303      13.81351395      16.82873673
   0   2   2    764.08527844     780.91401533     141.77712147       5.38934121     764.08528389     780.91402062
   0   2   3    242.31419120    1023.22820653     166.14579420       1.45844312     242.31419103    1023.22821165
   0   2   4    105.05815482    1128.28636135      31.16129575       3.37143080     105.05815238    1128.28636403
   0   2   5     -0.45238390    1127.83397746       0.56558648       0.79984920       0.45238389    1128.73874792
   0   2   6    694.47432948    1822.30830694     116.99415484       5.93597457     694.47432768    1823.21307560
   0   2   7    424.70853738    2247.01684432      37.40506718      11.35430526     424.70855101    2247.92162661
   0   2   8   -471.43747667    1775.57936765      26.56467815      17.74677873     471.43746519    2719.35909181
   0   2   9     53.07079853    1828.65016618     550.00210693       0.09649199      53.07079898    2772.42989079
   0   2  10     -4.83255920    1823.81760698       0.53487975       9.03485143       4.83255907    2777.26244986
   0   2  11    133.65552855    1957.47313553      37.91390109       3.52523805     133.65552658    2910.91797644
   0   2  12   -881.67023266    1075.80290287      37.06707449      23.78580566     881.67023021    3792.58820665
   0   2  13      3.74750941    1079.55041228       0.55922652       6.70123677       3.74750932    3796.33571597
   0   2  14     -5.02494285    1074.52546944      34.49939071       0.14565309       5.02494270    3801.36065867
   0   2  15     -0.77389782    1073.75157162       0.16499852       4.69033175       0.77389782    3802.13455648
   0   2  16     63.38225290    1137.13382452      19.79982425       3.20115240      63.38225483    3865.51681131
   0   2  17      2.61628316    1139.75010768       0.91622145       2.85551406       2.61628323    3868.13309454
   0   2  18     -1.58173149    1138.16837619       0.37395821       4.22970116       1.58173147    3869.71482601
   0   2  19      1.62898803    1139.79736422       0.72549016       2.24536194       1.62898799    3871.34381400
   0   2  20      0.58196717    1140.37933138       5.29558579       0.10989666       0.58196717    3871.92578117
   0   3   0      6.30464288       6.30464288       1.76204328       3.57802962       6.30464304       6.30464304
   0   3   1     33.63431824      39.93896112       2.00118619      16.80719080      33.63431816      39.93896121
   0   3   2   1159.55194440    1199.49090552     141.77712147       8.17869569    1159.55193269    1199.49089390
   0   3   3  -1763.75950005    -564.26859453     166.14579420      10.61573376    1763.75951618    2963.25041008
   0   3   4     46.71929633    -517.54929819      31.16129575       1.49927324      46.71929684    3009.96970692
   0   3   5     -0.67696686    -518.22626505       0.56558648       1.19692897       0.67696684    3010.64667376
   0   3   6     68.98643724    -449.23982781     116.99415484       0.58965712      68.98643663    3079.63311038
   0   3   7    126.02369435    -323.21613346      37.40506718       3.36916106     126.02369596    3205.65680634
   0   3   8    287.75751202     -35.45862144      26.56467815      10.83233566     287.75751037    3493.41431671
   0   3   9   1082.53774949    1047.07912805     550.00210693       1.96824290    1082.53774192    4575.95205863
   0   3  10     -6.75457624    1040.32455181       0.53487975      12.62821429       6.75457609    4582.70663472
