 0.07943282 -1.1 -18.539857864379883 0. 0. 3. -18.539857864379883 -573.2665886644457
 0.12589255 -0.9 -37.50265073776245 0. 0. 4. -37.50265073776245 NaN
 0.19952624 -0.7 -29.383712768554688 0. 0. 2. -29.383712768554688 -126.94138571733986
 0.31622776 -0.5 -75.95372772216797 0. 0. 3. -75.95372772216797 -95.83348208599719
 0.5011872 -0.3 -95.23167085647583 0. 0. 20. -95.23167085647583 NaN
 0.7943282 -0.1 -118.22930812835693 0. 0. 53. -118.22930812835693 -141.1206310787289
 1.2589254 0.1 -124.19145202636719 0. 0. 123. -124.19145202636719 -141.26956829292317
 1.9952624 0.3 95.77466527181566 39.508091657431315 12. 287. 118.36469886872494 66.60326485589547
 3.1622777 0.5 -23.662341032041283 -8.565559785330871 14. 778. -29.952180086624445 -39.229101485161635
 5.0118723 0.7 11.608587176663182 2.3020025383096 60. 1886. 8.212309460188905 11.06522584866392
 7.943282 0.9 34.757570893196295 3.855838032431907 172. 4632. 36.586633996532896 34.12497838400484
 12.589254 1.1 11.15883553935494 0.8891421139427195 374. 11686. 11.986700533296599 9.058369193462099
 19.952621 1.3 9.393652865476136 0.4932609361171274 888. 28857. 10.332238000151317 10.640231036406314
 31.622776 1.5 1.6912885410800649 0.07874787457095284 2336. 71438. 1.0663406714193542 1.0216179796400806
 50.11873 1.7 -5.746114322478387 -0.09169630555898657 5358. 174492. -6.529131036176895 -6.6299117656294175
 79.432816 1.9 4.0261058373501815 0.061569288563004344 13328. 416021. 3.5203074489767756 3.575314037676522
 125.89252 2.1 -1.7196390469218599 -0.0058629438937670576 30132. 969188. -2.12692943803201 -2.1383692465758615
